date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-02-17,11.141,58,73,CONSTRUCTIVE,80.729,56.990,18.831,,,73.341,,87.333,27.818,11.77000,-0.09864,-0.79234,,4.24049,74.24000,,0.81000,0.42303
2005-02-18,11.0755,74,73,RISK-ON,82.920,83.885,53.231,,,69.977,,88.000,52.642,11.18000,-0.58792,0.06995,,4.58405,78.46000,,0.82000,-0.04680
2005-02-22,11.043,55,73,CONSTRUCTIVE,74.838,69.822,6.448,,,65.225,,88.667,2.547,13.14000,-0.29344,-1.45057,,4.64509,83.99000,,0.83000,1.73261
2005-02-23,11.087,61,73,CONSTRUCTIVE,78.202,24.637,73.343,,,67.246,,87.333,44.824,12.39000,0.39844,0.56074,,4.93918,81.69000,,0.81000,0.09206
2005-02-24,11.1015,68,73,RISK-ON,81.495,40.777,79.941,,,66.155,,84.667,56.484,11.57000,0.13078,0.78938,,4.51033,82.94000,,0.77000,-0.09197
2005-02-25,11.091,72,73,RISK-ON,81.795,56.821,83.155,,,68.097,,82.000,41.331,11.49000,-0.09458,0.93068,,4.43772,80.70000,,0.73000,0.09206
2005-02-28,11.0885,56,73,CONSTRUCTIVE,79.495,51.645,26.376,,,59.650,,84.667,26.073,12.08000,-0.02254,-0.64142,,4.18096,90.05000,,0.77000,0.36790
2005-03-01,11.1005,69,83,RISK-ON,79.657,42.054,70.159,,78.971,60.423,,86.000,86.548,12.04000,0.10822,0.56581,,4.06817,89.23000,,0.79000,-0.82474
2005-03-02,11.107,62,83,CONSTRUCTIVE,77.730,45.638,48.909,,79.873,48.616,,87.333,51.635,12.50000,0.05856,-0.02727,,3.86232,101.41000,,0.81000,-0.02310
2005-03-03,11.0905,68,83,RISK-ON,75.814,61.007,51.370,,80.574,50.550,,86.667,81.942,12.93000,-0.14855,0.03223,,3.69781,99.44000,,0.80000,-0.67005
2005-03-04,11.0495,74,83,RISK-ON,80.059,75.394,82.351,,79.856,66.102,,83.333,10.889,11.94000,-0.36969,0.96244,,3.86624,83.00000,,0.75000,1.00024
